"file_name","journal_or_source","matched_direction","scie_status","impact_factor_or_note","citescore_or_note","mainstream_relevance","project_relevance","verification_source"
"A novel casting procedure for SFRC piles without shear reinforcement using the centrifugal forming technique.pdf","Construction and Building Materials","B","SCIE verified from journal page","Impact Factor 8.0","CiteScore 13.9","Mainstream SCI/SCIE engineering-materials journal","Strong B background; low-to-medium E+D+A relevance","https://www.sciencedirect.com/journal/construction-and-building-materials/about/insights"
"Absorption kinetics of superabsorbent polymers (SAP) in various cement-based solutions.pdf","Cement and Concrete Research","Other","SCIE verified from journal page","Impact Factor 13.1","CiteScore 23.5","Top mainstream cement/concrete materials journal","Low project relevance; not aligned with carbonated SCM or hypergravity","https://www.sciencedirect.com/journal/cement-and-concrete-research/about/insights"
"Centrifugal model tests on the structural response of the shield tunnel when constructing cross passages by mechanical methods.pdf","Tunnelling and Underground Space Technology","C","SCIE verified from journal page","Impact Factor 7.4","CiteScore 13.0","Mainstream SCIE tunnelling/geotechnical journal","Low for E+D+A; only centrifuge model background","https://www.sciencedirect.com/journal/tunnelling-and-underground-space-technology/about/insights"
"Centrifugally sprayed Engineered Cementitious Composites  Rheology  mechanics and structural retrfit for concrete pipes.pdf","Cement and Concrete Composites","B","SCIE verified from journal page","Impact Factor 13.1","CiteScore 22.5","Top mainstream cement/concrete composites journal","Useful B/ECC background; not direct carbonated SCM evidence","https://www.sciencedirect.com/journal/cement-and-concrete-composites/about/insights"
"Comparative study of acid mine drainage neutralization by calcium hydroxide and concrete sludge–derived material.pdf","Minerals Engineering","E","SCIE verified from journal page","Impact Factor 5.0","CiteScore 9.2","Mainstream SCIE mineral processing journal","High local value for E solid-waste/concrete-sludge background; verify cementitious relevance manually","https://www.sciencedirect.com/journal/minerals-engineering/about/insights"
"Design of thin-walled centrifugal concrete-filled steel tubes under torsion.pdf","Thin-Walled Structures","B","SCIE verified from journal page","Impact Factor 6.6","CiteScore 10.4","Mainstream SCIE structural/mechanical engineering journal","B structural background; low E+D+A relevance","https://www.sciencedirect.com/journal/thin-walled-structures/about/insights"
"Durable life assessment of centrifugal stratified PHC piles in marine environment.pdf","Engineering Structures","B","SCIE verified from journal page","Impact Factor 6.4","CiteScore 11.2","Mainstream SCIE structural engineering journal","B durability background; low E+D+A relevance","https://www.sciencedirect.com/journal/engineering-structures/about/insights"
"Dynamic response of the saturated soil–reinforced concrete pile–superstructure interaction under repeated shaking.pdf","Soil Dynamics and Earthquake Engineering","Other","SCIE verified from journal page","Impact Factor 4.6","CiteScore 7.9","Mainstream SCIE soil dynamics/geotechnical journal","Low project relevance; geotechnical/structural dynamics background only","https://www.sciencedirect.com/journal/soil-dynamics-and-earthquake-engineering/about/insights"
"Experimental and numerical analyses of lightweight foamed concrete as filler for widening embankment.pdf","Construction and Building Materials","Other","SCIE verified from journal page","Impact Factor 8.0","CiteScore 13.9","Mainstream SCI/SCIE engineering-materials journal","Low project relevance; generic concrete application","https://www.sciencedirect.com/journal/construction-and-building-materials/about/insights"
"Experimental investigation of thin-walled centrifugal concrete-filled steel tubes under torsion.pdf","Thin-Walled Structures","B","SCIE verified from journal page","Impact Factor 6.6","CiteScore 10.4","Mainstream SCIE structural/mechanical engineering journal","B structural background; low E+D+A relevance","https://www.sciencedirect.com/journal/thin-walled-structures/about/insights"
