"file_name","file_path","title","authors","year","journal_or_source","doi","document_type","detected_keywords","matched_direction","relevance_to_project","sci_mainstream_status","use_recommendation","notes"
"A novel casting procedure for SFRC piles without shear reinforcement using the centrifugal forming technique.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\A novel casting procedure for SFRC piles without shear reinforcement using the centrifugal forming technique.pdf","A novel casting procedure for SFRC piles without shear reinforcement using the centrifugal forming technique","unclear","2021","Construction and Building Materials","10.1016/j.conbuildmat.2021.124232","journal article PDF","centrifugal forming;SFRC piles;concrete piles","B","High for B background; low-to-medium for current E+D+A mainline","需人工通过 Web of Science / JCR / 中科院分区核验","背景支撑","可支撑离心成型混凝土背景和 B 方向暂缓判断；不直接支撑碳化固废 SCM 主线。"
"Absorption kinetics of superabsorbent polymers (SAP) in various cement-based solutions.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\Absorption kinetics of superabsorbent polymers (SAP) in various cement-based solutions.pdf","Absorption kinetics of superabsorbent polymers (SAP) in various cement-based solutions","unclear","2017","Cement and Concrete Research","10.1016/j.cemconres.2017.03.009","journal article PDF","SAP;cement-based solutions;cement","Other","Low; cement chemistry background but not aligned with E+D+A or centrifugal variables","需人工通过 Web of Science / JCR / 中科院分区核验","慎用或剔除","与当前碳化固废、CO2 养护和超重力变量耦合弱。"
"Centrifugal model tests on the structural response of the shield tunnel when constructing cross passages by mechanical methods.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\Centrifugal model tests on the structural response of the shield tunnel when constructing cross passages by mechanical methods.pdf","Centrifugal model tests on the structural response of the shield tunnel when constructing cross passages by mechanical methods","unclear","2022","Tunnelling and Underground Space Technology","10.1016/j.tust.2022.104621","journal article PDF","centrifugal model tests;shield tunnel;cross passages","C","Low; centrifuge modelling background but not cement/concrete material mechanism","需人工通过 Web of Science / JCR / 中科院分区核验","慎用或剔除","偏隧道土工离心模型试验，不适合作为当前开题核心文献。"
"Centrifugally sprayed Engineered Cementitious Composites  Rheology  mechanics and structural retrfit for concrete pipes.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\Centrifugally sprayed Engineered Cementitious Composites  Rheology  mechanics and structural retrfit for concrete pipes.pdf","Centrifugally sprayed Engineered Cementitious Composites: Rheology, mechanics, and structural retrofit for concrete pipes","unclear","2022","Cement and Concrete Composites","10.1016/j.cemconcomp.2022.104473","journal article PDF","centrifugally sprayed;ECC;concrete pipes;rheology","B","Medium; supports cementitious composite and centrifugal application background but not carbonated SCM","需人工通过 Web of Science / JCR / 中科院分区核验","背景支撑","可作为离心/喷射胶凝材料应用背景；与 E+D+A 主线不是直接证据。"
"Comparative study of acid mine drainage neutralization by calcium hydroxide and concrete sludge–derived material.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\Comparative study of acid mine drainage neutralization by calcium hydroxide and concrete sludge–derived material.pdf","Comparative study of acid mine drainage neutralization by calcium hydroxide and concrete sludge-derived material","unclear","2022","Minerals Engineering","10.1016/j.mineng.2022.107819","journal article PDF","concrete sludge;calcium hydroxide;acid mine drainage;waste-derived material","E","Medium-to-high; supports concrete sludge/solid-waste derived material resource use, but not direct CO2 curing","需人工通过 Web of Science / JCR / 中科院分区核验","核心必读","可补强固废来源和资源化论证；需确认是否涉及胶凝活性或仅用于中和。"
"Design of thin-walled centrifugal concrete-filled steel tubes under torsion.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\Design of thin-walled centrifugal concrete-filled steel tubes under torsion.pdf","Design of thin-walled centrifugal concrete-filled steel tubes under torsion","unclear","2008","Thin-Walled Structures","10.1016/j.tws.2008.08.001","journal article PDF","centrifugal concrete-filled steel tubes;torsion;thin-walled","B","Medium for B background; low for E+D+A mainline","需人工通过 Web of Science / JCR / 中科院分区核验","背景支撑","结构构件设计文献，可用于说明 B 方向偏构件/结构而非当前材料碳化主线。"
"Durable life assessment of centrifugal stratified PHC piles in marine environment.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\Durable life assessment of centrifugal stratified PHC piles in marine environment.pdf","Durable life assessment of centrifugal stratified PHC piles in marine environment","unclear","2022","Engineering Structures","10.1016/j.engstruct.2022.114404","journal article PDF","centrifugal stratified PHC piles;marine environment;durability","B","Medium; supports durability background of centrifugal piles, not carbonated SCM","需人工通过 Web of Science / JCR / 中科院分区核验","背景支撑","可作为 B 方向背景和应用场景，不作为开题核心主线。"
"Dynamic response of the saturated soil–reinforced concrete pile–superstructure interaction under repeated shaking.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\Dynamic response of the saturated soil–reinforced concrete pile–superstructure interaction under repeated shaking.pdf","Dynamic response of the saturated soil-reinforced concrete pile-superstructure interaction under repeated shaking","unclear","2021","Soil Dynamics and Earthquake Engineering","10.1016/j.soildyn.2021.106685","journal article PDF","soil;reinforced concrete pile;dynamic response;shaking","Other","Low; structural/geotechnical interaction, not current material-carbonation mainline","需人工通过 Web of Science / JCR / 中科院分区核验","慎用或剔除","偏土动力与桩-结构相互作用，建议暂不用于开题核心。"
"Experimental and numerical analyses of lightweight foamed concrete as filler for widening embankment.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\Experimental and numerical analyses of lightweight foamed concrete as filler for widening embankment.pdf","Experimental and numerical analyses of lightweight foamed concrete as filler for widening embankment","unclear","2020","Construction and Building Materials","10.1016/j.conbuildmat.2020.118897","journal article PDF","lightweight foamed concrete;embankment;filler","Other","Low; concrete application background only","需人工通过 Web of Science / JCR / 中科院分区核验","慎用或剔除","不涉及离心、CO2 碳化或固废 SCM 主线。"
"Experimental investigation of thin-walled centrifugal concrete-filled steel tubes under torsion.pdf","C:\Users\DELL\Desktop\超重力混凝土\孟老师资料\离心混凝土文献资料\Experimental investigation of thin-walled centrifugal concrete-filled steel tubes under torsion.pdf","Experimental investigation of thin-walled centrifugal concrete-filled steel tubes under torsion","unclear","2008","Thin-Walled Structures","10.1016/j.tws.2008.01.015","journal article PDF","centrifugal concrete-filled steel tubes;torsion;experiment","B","Medium for B background; low for E+D+A mainline","需人工通过 Web of Science / JCR / 中科院分区核验","背景支撑","结构试验文献，可用于说明离心混凝土已有研究偏构件性能。"
